id	County	rgo_code	RGOCodeSt	rgo_code_no	name	SPMMMSANAME		Color
01001	Autauga County	AL09	AL	09	Central Alabama Regional Plan and Dev Commission	AL09	Montgomery, AL	#383B41
01007	Bibb County	AL02	AL	02	West Alabama Regional Commission	AL03	Birmingham-Hoover, AL	#AE76A6
01009	Blount County	AL03	AL	03	Regional Planning Commission of Greater Birmingham	AL03	Birmingham-Hoover, AL	#A3C3D9
01015	Calhoun County	AL04	AL	04	East Alabama Regional Plan and Dev Commission	AL04	Anniston-Oxford-Jacksonville, AL	#CCD6EB
01021	Chilton County	AL03	AL	03	Regional Planning Commission of Greater Birmingham	AL03	Birmingham-Hoover, AL	#A3C3D9
01033	Colbert County	AL01	AL	01	Northwest Alabama Regional Council of Governments	AL01	Florence-Muscle Shoals, AL	#993955
01051	Elmore County	AL09	AL	09	Central Alabama Regional Plan and Dev Commission	AL09	Montgomery, AL	#383B41
01055	Etowah County	AL04	AL	04	East Alabama Regional Plan and Dev Commission	AL04	Gadsden, AL	#CCD6EB
01061	Geneva County	AL07	AL	07	SE Alabama Regional Planning and Dev Commission	AL07	Dothan, AL	#30212E
01065	Hale County	AL02	AL	02	West Alabama Regional Commission	AL02	Tuscaloosa, AL	#AE76A6
01067	Henry County	AL07	AL	07	SE Alabama Regional Planning and Dev Commission	AL07	Dothan, AL	#30212E
01069	Houston County	AL07	AL	07	SE Alabama Regional Planning and Dev Commission	AL07	Dothan, AL	#30212E
01073	Jefferson County	AL03	AL	03	Regional Planning Commission of Greater Birmingham	AL03	Birmingham-Hoover, AL	#A3C3D9
01077	Lauderdale County	AL01	AL	01	Northwest Alabama Regional Council of Governments	AL01	Florence-Muscle Shoals, AL	#993955
01079	Lawrence County	AL11	AL	11	North-Central Alabama Regional Council of Governments	AL11	Decatur, AL	#D0A5B1
01081	Lee County	AL10	AL	10	Lee-Russell Council of Governments	AL10	Auburn-Opelika, AL	#404143
01083	Limestone County	Al12	Al	12	Top of Alabama Council of Governments	AL12	Huntsville, AL	#DAC0D6
01085	Lowndes County	AL05	AL	05	South Central Alabama Development Commission	AL09	Montgomery, AL	#E9ECF5
01089	Madison County	Al12	Al	12	Top of Alabama Council of Governments	AL12	Huntsville, AL	#DAC0D6
01097	Mobile County	AL08	AL	08	South Alabama Regional Planning Commission	AL08	Mobile, AL	#2D363C
01101	Montgomery County	AL09	AL	09	Central Alabama Regional Plan and Dev Commission	AL09	Montgomery, AL	#383B41
01103	Morgan County	AL11	AL	11	North-Central Alabama Regional Council of Governments	AL11	Decatur, AL	#D0A5B1
01107	Pickens County	AL02	AL	02	West Alabama Regional Commission	AL02	Tuscaloosa, AL	#AE76A6
01113	Russell County	AL10	AL	10	Lee-Russell Council of Governments	GA09	Columbus, GA-AL	#404143
01115	St. Clair County	AL03	AL	03	Regional Planning Commission of Greater Birmingham	AL03	Birmingham-Hoover, AL	#A3C3D9
01117	Shelby County	AL03	AL	03	Regional Planning Commission of Greater Birmingham	AL03	Birmingham-Hoover, AL	#A3C3D9
01125	Tuscaloosa County	AL02	AL	02	West Alabama Regional Commission	AL02	Tuscaloosa, AL	#AE76A6
01127	Walker County	AL03	AL	03	Regional Planning Commission of Greater Birmingham	AL03	Birmingham-Hoover, AL	#A3C3D9
02020	Anchorage, Municipality	AK50	AK	50	Anchorage Metropolitan Area Transportation Solutions	AK50	Anchorage, AK	#E9ECF5
02090	Fairbanks North Star Borough	AK51	AK	51	Fairbanks Metropolitan Area Transportation System	AK51	Fairbanks, AK	#2A1018
02170	Matanuska-Susitna Borough	AK50	AK	50	Anchorage Metropolitan Area Transportation Solutions	AK50	Anchorage, AK	#E9ECF5
04003	Cochise County	AZ05	AZ	05	Southeastern Arizona Governments Organization	AZ05	Sierra Vista-Douglas, AZ	#E9ECF5
04005	Coconino County	AZ03	AZ	03	Northern Arizona Council of Governments	AZ03	Flagstaff, AZ	#A3C3D9
04013	Maricopa County	AZ02	AZ	02	Maricopa Association of Governments	AZ02	Phoenix-Mesa-Scottsdale, AZ	#AE76A6
04015	Mohave County	AZ06	AZ	06	Western Arizona Council of Governments	AZ06	Lake Havasu City-Kingman, AZ	#2A1018
04019	Pima County	AZ04	AZ	04	Pima Association of Governments	AZ04	Tucson, AZ	#CCD6EB
04021	Pinal County	AZ01	AZ	01	Central Arizona Governments	AZ02	Phoenix-Mesa-Scottsdale, AZ	#993955
04025	Yavapai County	AZ03	AZ	03	Northern Arizona Council of Governments	AZ03	Prescott, AZ	#A3C3D9
04027	Yuma County	AZ06	AZ	06	Western Arizona Council of Governments	AZ06	Yuma, AZ	#2A1018
05025	Cleveland County	AR06	AR	06	Southeast Arkansas Econonic Development District	AR06	Pine Bluff, AR	#2A1018
05031	Craighead County	AR07	AR	07	East Arkansas Planning and Development District	AR07	Jonesboro, AR	#30212E
05033	Crawford County	AR03	AR	03	Western Arkansas Planning and Development District	AR03	Fort Smith, AR-OK	#A3C3D9
05035	Crittenden County AR07 TN02	TN02	TN	02	Memphis Area Association of Governments	TN02	Memphis, TN-MS-AR	#AE76A6
05035	Crittenden County AR07 TN02	AR07	AR	07	East Arkansas Planning and Development District	TN02	Memphis, TN-MS-AR	#30212E
05045	Faulkner County	AR01	AR	01	Central Arkansas Planning and Development District	AR01	Little Rock-North Little Rock-Conway, AR	#993955
05053	Grant County	AR06	AR	06	Southeast Arkansas Econonic Development District	AR01	Little Rock-North Little Rock-Conway, AR	#2A1018
05069	Jefferson County	AR06	AR	06	Southeast Arkansas Econonic Development District	AR06	Pine Bluff, AR	#2A1018
05079	Lincoln County	AR06	AR	06	Southeast Arkansas Econonic Development District	AR06	Pine Bluff, AR	#2A1018
05081	Little River County	AR05	AR	05	Southwest Arkansas Planning and Development District	TX05	Texarkana, TX-AR	#E9ECF5
05085	Lonoke County	AR01	AR	01	Central Arkansas Planning and Development District	AR01	Little Rock-North Little Rock-Conway, AR	#993955
05087	Madison County	AR02	AR	02	Northwest Arkansas Economic Development District	AR02	Fayetteville-Springdale-Rogers, AR-MO	#AE76A6
05091	Miller County	AR05	AR	05	Southwest Arkansas Planning and Development District	TX05	Texarkana, TX-AR	#E9ECF5
05105	Perry County	AR04	AR	04	West Central Arkansas Planning and Development District	AR01	Little Rock-North Little Rock-Conway, AR	#CCD6EB
05111	Poinsett County	AR07	AR	07	East Arkansas Planning and Development District	AR07	Jonesboro, AR	#30212E
05119	Pulaski County	AR01	AR	01	Central Arkansas Planning and Development District	AR01	Little Rock-North Little Rock-Conway, AR	#993955
05125	Saline County	AR01	AR	01	Central Arkansas Planning and Development District	AR01	Little Rock-North Little Rock-Conway, AR	#993955
