state,value
Alabama,3.0
Alaska,1.9
Arizona,2.1
Arkansas,2.2
California,3.3
Colorado,3.2
Connecticut,4.2
Delaware,3.7
District of Columbia,9.4
Florida,3.0
Georgia,3.2
Hawaii,3.4
Idaho,2.2
Illinois,4.5
Indiana,3.1
Iowa,3.9
Kansas,3.7
Kentucky,3.9
Louisiana,2.7
Maine,4.0
Maryland,4.3
Massachusetts,5.0
Michigan,2.8
Minnesota,4.1
Mississippi,2.7
Missouri,3.6
Montana,3.0
Nebraska,3.7
Nevada,3.6
New Hampshire,3.3
New Jersey,4.7
New Mexico,1.8
New York,5.0
North Carolina,4.0
North Dakota,3.8
Ohio,3.0
Oklahoma,2.4
Oregon,4.1
Pennsylvania,4.0
Rhode Island,4.9
South Carolina,3.9
South Dakota,3.6
Tennessee,3.4
Texas,2.3
Utah,2.4
Vermont,3.7
Virginia,4.5
Washington,3.3
West Virginia,2.5
Wisconsin,3.3
Wyoming,1.9
