state,value
Alabama,6.8
Alaska,3.1
Arizona,3.2
Arkansas,7.1
California,3.8
Colorado,2.4
Connecticut,4.6
Delaware,4.8
District of Columbia,9.3
Florida,5.4
Georgia,5.3
Hawaii,5.8
Idaho,3.7
Illinois,5.0
Indiana,4.5
Iowa,4.4
Kansas,3.7
Kentucky,7.6
Louisiana,7.4
Maine,4.8
Maryland,4.4
Massachusetts,4.2
Michigan,4.5
Minnesota,3.6
Mississippi,7.5
Missouri,5.5
Montana,3.6
Nebraska,3.2
Nevada,3.2
New Hampshire,3.9
New Jersey,5.3
New Mexico,3.9
New York,5.6
North Carolina,6.2
North Dakota,6.2
Ohio,4.6
Oklahoma,5.0
Oregon,4.0
Pennsylvania,6.0
Rhode Island,6.7
South Carolina,7.3
South Dakota,5.3
Tennessee,7.2
Texas,4.2
Utah,2.7
Vermont,4.6
Virginia,5.1
Washington,2.6
West Virginia,7.6
Wisconsin,4.7
Wyoming,3.9
