  states	percentages
Alabama	7.7
Alaska	9.0
Arizona	9.3
Arkansas	6.1
California	10.7
Colorado	12.7
Connecticut	15.5
Delaware	11.4
District of Columbia	28.0
Florida	9.0
Georgia	9.9
Hawaii	9.9
Idaho	7.5
Illinois	11.7
Indiana	8.1
Iowa	7.4
Kansas	10.2
Kentucky	8.5
Louisiana	6.9
Maine	9.6
Maryland	16.0
Massachusetts	16.4
Michigan	9.4
Minnesota	10.3
Mississippi	7.1
Missouri	9.5
Montana	8.3
Nebraska	8.8
Nevada	7.6
New Hampshire	11.2
New Jersey	12.9
New Mexico	10.4
New York	14.0
North Carolina	8.8
North Dakota	6.7
Ohio	8.8
Oklahoma	7.4
Oregon	10.4
Pennsylvania	10.2
Rhode Island	11.7
South Carolina	8.4
South Dakota	7.3
Tennessee	7.9
Texas	8.5
Utah	9.1
Vermont	13.3
Virginia	14.1
Washington	11.1
West Virginia	6.7
Wisconsin	8.4
Wyoming	7.9
