source,target,class
Bush vs. the Beltway,1000 Years for Revenge,orange
Charlie Wilson's War,1000 Years for Revenge,orange
Losing Bin Laden,1000 Years for Revenge,orange
Losing Bin Laden,Bush vs. the Beltway,red
Sleeping With the Devil,1000 Years for Revenge,yellow
Sleeping With the Devil,Charlie Wilson's War,orange
The Man Who Warned America,1000 Years for Revenge,orange
The Man Who Warned America,Bush vs. the Beltway,red
The Man Who Warned America,Charlie Wilson's War,red
The Man Who Warned America,Losing Bin Laden,red
The Man Who Warned America,Sleeping With the Devil,orange
Why America Slept,1000 Years for Revenge,yellow
Why America Slept,Bush vs. the Beltway,orange
Why America Slept,Sleeping With the Devil,yellow
Why America Slept,The Man Who Warned America,orange
Ghost Wars,Charlie Wilson's War,orange
Ghost Wars,The Man Who Warned America,orange
Ghost Wars,Why America Slept,yellow
A National Party No More,Losing Bin Laden,red
Bush Country,Losing Bin Laden,red
Bush Country,A National Party No More,red
Dereliction of Duty,Losing Bin Laden,red
Dereliction of Duty,Why America Slept,orange
Dereliction of Duty,A National Party No More,red
Legacy,Losing Bin Laden,red
Legacy,A National Party No More,red
Legacy,Bush Country,red
Legacy,Dereliction of Duty,red
Off with Their Heads,Losing Bin Laden,red
Off with Their Heads,Why America Slept,orange
Off with Their Heads,A National Party No More,red
Off with Their Heads,Bush Country,red
Off with Their Heads,Dereliction of Duty,red
Off with Their Heads,Legacy,red
Persecution,Losing Bin Laden,red
Persecution,A National Party No More,red
Persecution,Legacy,red
Persecution,Off with Their Heads,red
Rumsfeld's War,Losing Bin Laden,red
Rumsfeld's War,Ghost Wars,orange
Rumsfeld's War,A National Party No More,red
Rumsfeld's War,Bush Country,red
Rumsfeld's War,Legacy,red
Rumsfeld's War,Off with Their Heads,red
Breakdown,Losing Bin Laden,red
Breakdown,Dereliction of Duty,red
Breakdown,Off with Their Heads,red
Betrayal,Losing Bin Laden,red
Betrayal,Dereliction of Duty,red
Betrayal,Breakdown,red
Shut Up and Sing,Losing Bin Laden,red
Shut Up and Sing,Legacy,red
Shut Up and Sing,Off with Their Heads,red
Shut Up and Sing,Persecution,red
Meant To Be,Losing Bin Laden,orange
Meant To Be,Why America Slept,yellow
Meant To Be,Off with Their Heads,orange
The Right Man,Losing Bin Laden,red
The Right Man,Dereliction of Duty,red
Ten Minutes from Normal,Losing Bin Laden,red
Ten Minutes from Normal,A National Party No More,red
Ten Minutes from Normal,Bush Country,red
Ten Minutes from Normal,Legacy,red
Hillary's Scheme,Losing Bin Laden,red
Hillary's Scheme,A National Party No More,red
Hillary's Scheme,Dereliction of Duty,red
Hillary's Scheme,Legacy,red
The French Betrayal of America,Losing Bin Laden,red
The French Betrayal of America,Why America Slept,orange
The French Betrayal of America,A National Party No More,red
The French Betrayal of America,Legacy,red
Tales from the Left Coast,Losing Bin Laden,red
Tales from the Left Coast,A National Party No More,red
Tales from the Left Coast,Off with Their Heads,red
Tales from the Left Coast,Hillary's Scheme,red
Hating America,Losing Bin Laden,red
Hating America,A National Party No More,red
Hating America,Bush Country,red
Hating America,Off with Their Heads,red
Hating America,Ten Minutes from Normal,red
The Third Terrorist,Losing Bin Laden,red
The Third Terrorist,Why America Slept,orange
The Third Terrorist,Rumsfeld's War,red
The Third Terrorist,The French Betrayal of America,red
Endgame,Losing Bin Laden,red
Endgame,A National Party No More,red
Endgame,Legacy,red
Endgame,Rumsfeld's War,red
Endgame,Hating America,red
Spin Sisters,Losing Bin Laden,red
Spin Sisters,A National Party No More,red
Spin Sisters,Bush Country,red
Spin Sisters,Legacy,red
Spin Sisters,Tales from the Left Coast,red
All the Shah's Men,Sleeping With the Devil,yellow
Dangerous Diplomacy,Sleeping With the Devil,orange
Dangerous Diplomacy,Why America Slept,orange
Dangerous Diplomacy,Legacy,red
Dangerous Diplomacy,Persecution,red
The Price of Loyalty,Sleeping With the Devil,green
The Price of Loyalty,Ghost Wars,green
"House of Bush, House of Saud",Sleeping With the Devil,green
"House of Bush, House of Saud",The Price of Loyalty,blue
The Death of Right and Wrong,A National Party No More,red
The Death of Right and Wrong,Off with Their Heads,red
