id,class,degree
1000 Years for Revenge,n,6
Bush vs. the Beltway,c,4
Charlie Wilson's War,c,4
Losing Bin Laden,c,23
Sleeping With the Devil,n,8
The Man Who Warned America,c,7
Why America Slept,n,11
Ghost Wars,n,8
A National Party No More,c,25
Bush Country,c,16
Dereliction of Duty,c,15
Legacy,c,18
Off with Their Heads,c,25
Persecution,c,13
Rumsfeld's War,c,9
Breakdown,c,5
Betrayal,c,3
Shut Up and Sing,c,5
Meant To Be,n,3
The Right Man,c,5
Ten Minutes from Normal,c,10
Hillary's Scheme,c,5
The French Betrayal of America,c,7
Tales from the Left Coast,c,9
Hating America,c,9
The Third Terrorist,c,5
Endgame,c,9
Spin Sisters,c,9
All the Shah's Men,n,3
Dangerous Diplomacy,c,4
The Price of Loyalty,l,20
"House of Bush, House of Saud",l,11
The Death of Right and Wrong,c,5
Useful Idiots,c,9
The O'Reilly Factor,c,5
Let Freedom Ring,c,10
Those Who Trespass,c,5
Bias,c,7
Slander,c,7
The Savage Nation,c,8
Deliver Us from Evil,c,18
Give Me a Break,c,8
The Enemy Within,c,6
The Real America,c,5
Who's Looking Out for You?,c,5
The Official Handbook Vast Right Wing Conspiracy,c,6
Power Plays,n,4
Arrogance,c,18
The Perfect Wife,n,4
The Bushes,c,8
Things Worth Fighting For,c,3
"Surprise, Security, the American Experience",n,6
Allies,c,5
Why Courage Matters,c,5
Hollywood Interrupted,c,6
Fighting Back,c,4
We Will Prevail,c,4
The Faith of George W Bush,c,5
Rise of the Vulcans,c,13
Downsize This!,l,5
Stupid White Men,l,6
Rush Limbaugh Is a Big Fat Idiot,l,4
The Best Democracy Money Can Buy,l,6
The Culture of Fear,l,4
America Unbound,l,9
The Choice,l,7
The Great Unraveling,l,21
Rogue Nation,l,6
Soft Power,l,4
Colossus,n,5
The Sorrows of Empire,l,7
Against All Enemies,l,15
American Dynasty,l,22
Big Lies,l,21
The Lies of George W. Bush,l,16
Worse Than Watergate,l,16
Plan of Attack,n,13
Bush at War,c,7
The New Pearl Harbor,l,5
Bush women,l,8
The Bubble of American Supremacy,l,4
Living History,l,4
The Politics of Truth,l,9
Fanatics and Fools,l,8
Bushwhacked,l,23
Disarming Iraq,l,5
Lies and the Lying Liars Who Tell Them,l,14
MoveOn's 50 Ways to Love Your Country,l,5
The Buying of the President 2004,l,5
Perfectly Legal,l,6
Hegemony or Survival,l,5
The Exception to the Rulers,l,8
Freethinkers,l,3
Had Enough?,l,7
"It's Still the Economy, Stupid!",l,7
We're Right They're Wrong,l,4
What Liberal Media?,l,6
The Clinton Wars,l,6
Weapons of Mass Deception,l,5
"Dude, Where's My Country?",l,12
Thieves in High Places,l,12
Shrub,l,5
Buck Up Suck Up,l,4
The Future of Freedom,n,2
Empire,n,3
