source,target,class
Bush vs. the Beltway,1000 Years for Revenge,orange
1000 Years for Revenge,Bush vs. the Beltway,orange
Charlie Wilson's War,1000 Years for Revenge,orange
1000 Years for Revenge,Charlie Wilson's War,orange
Losing Bin Laden,1000 Years for Revenge,orange
1000 Years for Revenge,Losing Bin Laden,orange
Losing Bin Laden,Bush vs. the Beltway,red
Bush vs. the Beltway,Losing Bin Laden,red
Sleeping With the Devil,1000 Years for Revenge,yellow
1000 Years for Revenge,Sleeping With the Devil,yellow
Sleeping With the Devil,Charlie Wilson's War,orange
Charlie Wilson's War,Sleeping With the Devil,orange
The Man Who Warned America,1000 Years for Revenge,orange
1000 Years for Revenge,The Man Who Warned America,orange
The Man Who Warned America,Bush vs. the Beltway,red
Bush vs. the Beltway,The Man Who Warned America,red
The Man Who Warned America,Charlie Wilson's War,red
Charlie Wilson's War,The Man Who Warned America,red
The Man Who Warned America,Losing Bin Laden,red
Losing Bin Laden,The Man Who Warned America,red
The Man Who Warned America,Sleeping With the Devil,orange
Sleeping With the Devil,The Man Who Warned America,orange
Why America Slept,1000 Years for Revenge,yellow
1000 Years for Revenge,Why America Slept,yellow
Why America Slept,Bush vs. the Beltway,orange
Bush vs. the Beltway,Why America Slept,orange
Why America Slept,Sleeping With the Devil,yellow
Sleeping With the Devil,Why America Slept,yellow
Why America Slept,The Man Who Warned America,orange
The Man Who Warned America,Why America Slept,orange
Ghost Wars,Charlie Wilson's War,orange
Charlie Wilson's War,Ghost Wars,orange
Ghost Wars,The Man Who Warned America,orange
The Man Who Warned America,Ghost Wars,orange
Ghost Wars,Why America Slept,yellow
Why America Slept,Ghost Wars,yellow
A National Party No More,Losing Bin Laden,red
Losing Bin Laden,A National Party No More,red
Bush Country,Losing Bin Laden,red
Losing Bin Laden,Bush Country,red
Bush Country,A National Party No More,red
A National Party No More,Bush Country,red
Dereliction of Duty,Losing Bin Laden,red
Losing Bin Laden,Dereliction of Duty,red
Dereliction of Duty,Why America Slept,orange
Why America Slept,Dereliction of Duty,orange
Dereliction of Duty,A National Party No More,red
A National Party No More,Dereliction of Duty,red
Legacy,Losing Bin Laden,red
Losing Bin Laden,Legacy,red
Legacy,A National Party No More,red
A National Party No More,Legacy,red
Legacy,Bush Country,red
Bush Country,Legacy,red
Legacy,Dereliction of Duty,red
Dereliction of Duty,Legacy,red
Off with Their Heads,Losing Bin Laden,red
Losing Bin Laden,Off with Their Heads,red
Off with Their Heads,Why America Slept,orange
Why America Slept,Off with Their Heads,orange
Off with Their Heads,A National Party No More,red
A National Party No More,Off with Their Heads,red
Off with Their Heads,Bush Country,red
Bush Country,Off with Their Heads,red
Off with Their Heads,Dereliction of Duty,red
Dereliction of Duty,Off with Their Heads,red
Off with Their Heads,Legacy,red
Legacy,Off with Their Heads,red
Persecution,Losing Bin Laden,red
Losing Bin Laden,Persecution,red
Persecution,A National Party No More,red
A National Party No More,Persecution,red
Persecution,Legacy,red
Legacy,Persecution,red
Persecution,Off with Their Heads,red
Off with Their Heads,Persecution,red
Rumsfeld's War,Losing Bin Laden,red
Losing Bin Laden,Rumsfeld's War,red
Rumsfeld's War,Ghost Wars,orange
Ghost Wars,Rumsfeld's War,orange
Rumsfeld's War,A National Party No More,red
A National Party No More,Rumsfeld's War,red
Rumsfeld's War,Bush Country,red
Bush Country,Rumsfeld's War,red
Rumsfeld's War,Legacy,red
Legacy,Rumsfeld's War,red
Rumsfeld's War,Off with Their Heads,red
Off with Their Heads,Rumsfeld's War,red
Breakdown,Losing Bin Laden,red
Losing Bin Laden,Breakdown,red
Breakdown,Dereliction of Duty,red
Dereliction of Duty,Breakdown,red
Breakdown,Off with Their Heads,red
Off with Their Heads,Breakdown,red
Betrayal,Losing Bin Laden,red
Losing Bin Laden,Betrayal,red
Betrayal,Dereliction of Duty,red
Dereliction of Duty,Betrayal,red
Betrayal,Breakdown,red
Breakdown,Betrayal,red
Shut Up and Sing,Losing Bin Laden,red
Losing Bin Laden,Shut Up and Sing,red
Shut Up and Sing,Legacy,red
Legacy,Shut Up and Sing,red
Shut Up and Sing,Off with Their Heads,red
Off with Their Heads,Shut Up and Sing,red
Shut Up and Sing,Persecution,red
Persecution,Shut Up and Sing,red
Meant To Be,Losing Bin Laden,orange
Losing Bin Laden,Meant To Be,orange
Meant To Be,Why America Slept,yellow
Why America Slept,Meant To Be,yellow
Meant To Be,Off with Their Heads,orange
Off with Their Heads,Meant To Be,orange
The Right Man,Losing Bin Laden,red
Losing Bin Laden,The Right Man,red
